path,year,hatchery,length,mass,date,flow
0,2010,1,176,57,118,345
0,2005,1,205,101,128,1093
0,2010,1,180,56,118,345
0,2010,1,193,74,118,345
0,2005,1,189,76,128,1093
0,2010,1,180,65,118,345
0,2010,1,196,77,118,345
0,2006,1,185,67,117,416
0,2011,1,181,59,122,1311
0,2011,1,197,85,118,1226
0,2010,1,179,58,118,345
0,2010,1,182,64,118,345
0,2010,1,194,76,118,345
0,2012,1,204,84,118,937
0,2010,1,201,92,118,345
0,2011,1,210,94,118,1226
0,2012,1,215,101,118,937
0,2011,1,194,72,118,1226
0,2011,1,222,126,118,1226
0,2011,1,191,75,118,1226
0,2011,1,200,76,122,1311
0,2011,1,194,80,118,1226
0,2006,1,194,82,121,276
0,2011,1,184,69,117,1102
0,2006,1,206,102,122,294
1,2011,1,194,70,118,1226
0,2011,1,199,93,118,1226
0,2011,1,215,97,118,1226
0,2011,1,219,117,118,1226
0,2006,1,189,80,121,276
1,2006,1,213,96,130,430
0,2011,1,185,69,118,1226
0,2011,1,203,89,117,1102
0,2011,1,209,100,119,1337
0,2005,1,195,84,125,1325
0,2011,1,184,64,118,1226
0,2011,1,180,74,117,1102
0,2006,1,190,80,121,276
0,2005,1,178,54,109,773
0,2006,1,175,61,121,276
0,2006,1,188,76,121,276
1,2005,1,197,92,112,903
0,2005,1,191,80,113,821
0,2006,1,187,70,121,276
0,2012,1,186,68,125,510
0,2005,1,194,81,109,773
1,2005,1,178,64,109,773
0,2011,1,190,79,124,1045
0,2006,1,194,87,120,289
0,2006,1,198,88,120,289
0,2006,1,226,125,130,430
1,2011,1,168,53,122,1311
0,2006,1,173,56,120,289
0,2005,1,178,60,109,773
0,2006,1,225,136,118,374
0,2005,1,188,71,109,773
0,2006,1,204,92,120,289
0,2006,1,199,91,120,289
0,2011,1,173,55,117,1102
0,2005,1,185,65,109,773
1,2005,1,186,78,109,773
0,2011,1,210,98,122,1311
0,2005,1,195,82,109,773
1,2009,1,184,66,125,592
0,2006,1,190,85,119,317
0,2006,1,190,74,119,317
0,2006,1,192,74,122,294
0,2011,1,197,80,123,1119
0,2006,1,189,80,130,430
0,2006,1,211,107,118,374
0,2006,1,224,125,130,430
1,2011,1,185,62,119,1337
0,2011,1,182,60,122,1311
0,2011,1,197,81,117,1102
0,2006,1,205,102,121,276
