date,waterbody,site,length,mass,loglength,logmass
6/28/2018,Susquehanna River,Cooperstown Dam,30.88,7.18,3.430108725,1.971299383
6/28/2018,Susquehanna River,Cooperstown Dam,31.18,6.85,3.439776864,1.924248652
6/28/2018,Susquehanna River,Cooperstown Dam,31.15,6.75,3.438814245,1.909542505
6/28/2018,Susquehanna River,Cooperstown Dam,29.28,6.46,3.376904689,1.865629318
6/28/2018,Susquehanna River,Cooperstown Dam,28.31,6.14,3.343215099,1.814824742
6/28/2018,Susquehanna River,Cooperstown Dam,30.55,5.99,3.419364686,1.790091412
6/28/2018,Susquehanna River,Cooperstown Dam,27.15,5.58,3.301377046,1.719188776
6/28/2018,Susquehanna River,Cooperstown Dam,28.83,4.95,3.361416512,1.599387577
6/28/2018,Susquehanna River,Cooperstown Dam,27,4.85,3.295836866,1.578978705
6/28/2018,Susquehanna River,Cooperstown Dam,28.65,4.81,3.355153443,1.570697084
6/28/2018,Susquehanna River,Cooperstown Dam,27.29,4.57,3.306520335,1.519513205
6/28/2018,Susquehanna River,Cooperstown Dam,28.44,4.5,3.347796605,1.504077397
6/28/2018,Susquehanna River,Cooperstown Dam,25.75,4.19,3.248434627,1.432700734
6/28/2018,Susquehanna River,Cooperstown Dam,25.79,4,3.24998682,1.386294361
6/28/2018,Susquehanna River,Cooperstown Dam,23.64,3.41,3.162940193,1.226712291
6/28/2018,Susquehanna River,Cooperstown Dam,24.27,3.34,3.18924102,1.205970807
6/28/2018,Susquehanna River,Cooperstown Dam,24.34,2.94,3.192121088,1.078409581
6/28/2018,Susquehanna River,Cooperstown Dam,24.17,2.91,3.185112195,1.068153081
6/28/2018,Susquehanna River,Cooperstown Dam,23.07,2.9,3.138533072,1.064710737
6/28/2018,Susquehanna River,Cooperstown Dam,22.35,2.85,3.106826321,1.047318994
6/28/2018,Susquehanna River,Cooperstown Dam,21.82,2.82,3.08282698,1.036736885
6/28/2018,Susquehanna River,Cooperstown Dam,21.67,2.78,3.075928816,1.022450928
6/28/2018,Susquehanna River,Cooperstown Dam,21.17,2.75,3.052585085,1.011600912
6/28/2018,Susquehanna River,Cooperstown Dam,22.07,2.55,3.09421922,0.936093359
6/28/2018,Susquehanna River,Cooperstown Dam,21.73,2.54,3.078693794,0.932164081
6/28/2018,Susquehanna River,Cooperstown Dam,21.61,2.42,3.073156171,0.88376754
6/28/2018,Susquehanna River,Cooperstown Dam,20.63,2.29,3.026746327,0.828551818
6/28/2018,Susquehanna River,Cooperstown Dam,21.54,2.23,3.069911672,0.802001585
6/28/2018,Susquehanna River,Cooperstown Dam,21.69,2.22,3.076851325,0.797507196
6/28/2018,Susquehanna River,Cooperstown Dam,20.24,2.19,3.007660844,0.783901544
6/28/2018,Susquehanna River,Cooperstown Dam,20.55,2.16,3.022860941,0.770108222
6/28/2018,Susquehanna River,Cooperstown Dam,21.22,2.15,3.054944133,0.765467842
6/28/2018,Susquehanna River,Cooperstown Dam,20.28,2.14,3.009635179,0.760805829
6/28/2018,Susquehanna River,Cooperstown Dam,21.12,2.12,3.050220459,0.751416089
6/28/2018,Susquehanna River,Cooperstown Dam,21.3,2.09,3.058707073,0.737164066
6/28/2018,Susquehanna River,Cooperstown Dam,20.77,2.08,3.033509638,0.732367894
6/28/2018,Susquehanna River,Cooperstown Dam,21.57,2.05,3.07130346,0.717839793
6/28/2018,Susquehanna River,Cooperstown Dam,21.29,2.03,3.058237479,0.708035793
6/28/2018,Susquehanna River,Cooperstown Dam,20.72,2.01,3.031099417,0.698134722
6/28/2018,Susquehanna River,Cooperstown Dam,21.24,1.96,3.055886196,0.672944473
6/28/2018,Susquehanna River,Cooperstown Dam,20.92,1.93,3.040705639,0.657520003
6/28/2018,Susquehanna River,Cooperstown Dam,21.54,1.92,3.069911672,0.652325186
6/28/2018,Susquehanna River,Cooperstown Dam,19.22,1.92,2.955951404,0.652325186
6/28/2018,Susquehanna River,Cooperstown Dam,20.48,1.91,3.0194488,0.647103242
6/28/2018,Susquehanna River,Cooperstown Dam,19.51,1.88,2.970927155,0.631271777
6/28/2018,Susquehanna River,Cooperstown Dam,20.6,1.86,3.025291076,0.620576488
6/28/2018,Susquehanna River,Cooperstown Dam,19.51,1.86,2.970927155,0.620576488
6/28/2018,Susquehanna River,Cooperstown Dam,18.89,1.8,2.938632682,0.587786665
6/28/2018,Susquehanna River,Cooperstown Dam,19.44,1.71,2.967332799,0.536493371
6/28/2018,Susquehanna River,Cooperstown Dam,18.61,1.7,2.923699071,0.530628251
6/28/2018,Susquehanna River,Cooperstown Dam,18.77,1.6,2.932259851,0.470003629
6/28/2018,Susquehanna River,Cooperstown Dam,19.18,1.57,2.953868069,0.451075619
6/28/2018,Susquehanna River,Cooperstown Dam,19.5,1.54,2.970414466,0.431782416
6/28/2018,Susquehanna River,Cooperstown Dam,19.44,1.5,2.967332799,0.405465108
6/28/2018,Susquehanna River,Cooperstown Dam,18.85,1.49,2.936512914,0.39877612
6/28/2018,Susquehanna River,Cooperstown Dam,18.96,1.44,2.942331497,0.364643114
6/28/2018,Susquehanna River,Cooperstown Dam,17.5,1.37,2.862200881,0.31481074
6/28/2018,Susquehanna River,Cooperstown Dam,17.61,1.33,2.868466923,0.285178942
6/28/2018,Susquehanna River,Cooperstown Dam,17.6,1.26,2.867898902,0.231111721
6/28/2018,Susquehanna River,Cooperstown Dam,17.77,1.22,2.877511642,0.198850859
6/28/2018,Susquehanna River,Cooperstown Dam,17.02,1.2,2.834389123,0.182321557
6/28/2018,Susquehanna River,Cooperstown Dam,17.42,1.19,2.857618971,0.173953307
6/28/2018,Susquehanna River,Cooperstown Dam,17.49,1.18,2.861629289,0.165514438
6/28/2018,Susquehanna River,Cooperstown Dam,16.76,1.11,2.818995095,0.104360015
6/28/2018,Susquehanna River,Cooperstown Dam,16.42,1.08,2.798500104,0.076961041
6/28/2018,Susquehanna River,Cooperstown Dam,15.83,0.97,2.761906874,-0.030459207
6/28/2018,Susquehanna River,Cooperstown Dam,16.4,0.95,2.797281335,-0.051293294
6/28/2018,Susquehanna River,Cooperstown Dam,16.07,0.91,2.77695418,-0.094310679
6/28/2018,Susquehanna River,Cooperstown Dam,14.54,0.85,2.676903472,-0.162518929
6/28/2018,Susquehanna River,Cooperstown Dam,14.94,0.83,2.70404218,-0.186329578
6/28/2018,Susquehanna River,Cooperstown Dam,15.02,0.75,2.709382646,-0.287682072
6/28/2018,Susquehanna River,Cooperstown Dam,14.5,0.75,2.674148649,-0.287682072
6/28/2018,Susquehanna River,Cooperstown Dam,14.06,0.71,2.643333886,-0.342490309
6/28/2018,Susquehanna River,Cooperstown Dam,14.37,0.66,2.6651427,-0.415515444
6/28/2018,Susquehanna River,Cooperstown Dam,13.82,0.66,2.626116818,-0.415515444
6/28/2018,Susquehanna River,Cooperstown Dam,14.19,0.62,2.652537491,-0.478035801
6/28/2018,Susquehanna River,Cooperstown Dam,14.8,0.6,2.694627181,-0.510825624
6/28/2018,Susquehanna River,Cooperstown Dam,14.55,0.59,2.677590994,-0.527632742
6/28/2018,Susquehanna River,Cooperstown Dam,13.08,0.59,2.571084346,-0.527632742
6/28/2018,Susquehanna River,Cooperstown Dam,13.27,0.56,2.585505848,-0.579818495
6/28/2018,Susquehanna River,Cooperstown Dam,13.03,0.53,2.567254391,-0.634878272
6/28/2018,Susquehanna River,Cooperstown Dam,12.2,0.48,2.501435952,-0.733969175
6/28/2018,Susquehanna River,Cooperstown Dam,12.43,0.45,2.520112906,-0.798507696
6/28/2018,Susquehanna River,Cooperstown Dam,11.9,0.43,2.4765384,-0.84397007
6/28/2018,Susquehanna River,Cooperstown Dam,6.39,0.05,1.854734268,-2.995732274
6/29/2018,Susquehanna River,Colliersville,42.21,16.53,3.74265716,2.805176912
6/29/2018,Susquehanna River,Colliersville,38.45,12.62,3.649358696,2.535282857
6/29/2018,Otego Creek,Route 23,37.4,12.52,3.621670704,2.527327366
6/29/2018,Susquehanna River,Colliersville,36.04,11.7,3.584629433,2.459588842
6/29/2018,Otego Creek,Route 23,34.99,10.63,3.555062306,2.363680192
6/29/2018,Susquehanna River,Colliersville,35.19,9.65,3.560761951,2.266957915
6/29/2018,Susquehanna River,Colliersville,34.33,9.24,3.536019607,2.223541886
