Sex,Age,Length,yearCollected,backCalculated,Mass
B,1,13,2010,TRUE,
B,1,15,2010,TRUE,
B,1,15,2010,TRUE,
B,1,15,2010,TRUE,
B,1,15,2010,TRUE,
B,1,15,2010,TRUE,
B,1,16,2010,TRUE,
B,1,16,2010,TRUE,
B,1,16,2010,TRUE,
B,1,16,2010,TRUE,
B,1,16,2010,TRUE,
B,1,16,2010,TRUE,
B,1,16,2010,TRUE,
B,1,16,2010,TRUE,
B,1,16,2010,TRUE,
R,1,16,2010,TRUE,
R,1,16,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
B,1,17,2010,TRUE,
R,1,17,2010,TRUE,
R,1,17,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
B,1,18,2010,TRUE,
R,1,18,2010,TRUE,
R,1,18,2010,TRUE,
R,1,18,2010,TRUE,
R,1,18,2010,TRUE,
R,1,18,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
B,1,19,2010,TRUE,
R,1,19,2010,TRUE,
R,1,19,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
B,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
R,1,20,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
B,1,21,2010,TRUE,
