Year,Length,Weight_kg,Age,cohort,n_stocked,n,acre,ha,nha,kg,kg_ha
2006,1262,23.154,12,1994,7000,25128,2957,1203,21,129929,108
2006,569,2.653,2,2004,7000,25128,2957,1203,21,129929,108
2006,504,2.229,2,2004,7000,25128,2957,1203,21,129929,108
2006,846,8.008,3,2003,7000,25128,2957,1203,21,129929,108
2006,1138,23.923,10,1996,7000,25128,2957,1203,21,129929,108
2006,1187,18.614,10,1996,7000,25128,2957,1203,21,129929,108
2006,1207,19.522,12,1994,7000,25128,2957,1203,21,129929,108
2006,1086,21.285,10,1996,7000,25128,2957,1203,21,129929,108
2006,525,2.929,2,2004,7000,25128,2957,1203,21,129929,108
2006,837,8.236,4,2002,7000,25128,2957,1203,21,129929,108
2006,556,2.93,2,2004,7000,25128,2957,1203,21,129929,108
2006,821,7.131,3,2003,7000,25128,2957,1203,21,129929,108
2006,803,10.03,3,2003,7000,25128,2957,1203,21,129929,108
2006,1095,18.16,12,1994,7000,25128,2957,1203,21,129929,108
2006,687,7.491,4,2002,7000,25128,2957,1203,21,129929,108
2006,488,1.922,2,2004,7000,25128,2957,1203,21,129929,108
2006,1240,21.565,11,1995,7000,25128,2957,1203,21,129929,108
2006,724,6.81,3,2003,7000,25128,2957,1203,21,129929,108
2006,1055,15.331,11,1995,7000,25128,2957,1203,21,129929,108
2006,1044,15.917,10,1996,7000,25128,2957,1203,21,129929,108
2006,769,8.398,4,2002,7000,25128,2957,1203,21,129929,108
2006,466,1.988,2,2004,7000,25128,2957,1203,21,129929,108
2006,757,7.632,3,2003,7000,25128,2957,1203,21,129929,108
2006,765,7.581,3,2003,7000,25128,2957,1203,21,129929,108
2006,1135,19.723,11,1995,7000,25128,2957,1203,21,129929,108
2006,810,10.896,4,2002,7000,25128,2957,1203,21,129929,108
2006,793,7.037,3,2003,7000,25128,2957,1203,21,129929,108
2006,809,7.228,3,2003,7000,25128,2957,1203,21,129929,108
2006,766,7.264,3,2003,7000,25128,2957,1203,21,129929,108
2006,1147,19.068,11,1995,7000,25128,2957,1203,21,129929,108
2006,700,4.786,3,2003,7000,25128,2957,1203,21,129929,108
2006,805,8.322,9,1997,7000,25128,2957,1203,21,129929,108
2006,829,8.626,3,2003,7000,25128,2957,1203,21,129929,108
2007,1219,0,11,1996,7720,28261,1204,490,58,142911,292
2007,689,0,2,2005,7720,28261,1204,490,58,142911,292
2007,548,1.825,2,2005,7720,28261,1204,490,58,142911,292
2007,1351,34.019,13,1994,7720,28261,1204,490,58,142911,292
2007,1023,14.6,12,1995,7720,28261,1204,490,58,142911,292
2007,1115,0,12,1995,7720,28261,1204,490,58,142911,292
2007,933,9.825,12,1995,7720,28261,1204,490,58,142911,292
2007,1121,0,8,1999,7720,28261,1204,490,58,142911,292
2007,686,5.975,4,2003,7720,28261,1204,490,58,142911,292
2007,767,8.375,3,2004,7720,28261,1204,490,58,142911,292
2007,792,6.875,3,2004,7720,28261,1204,490,58,142911,292
2007,1171,0,12,1995,7720,28261,1204,490,58,142911,292
2007,652,0,2,2005,7720,28261,1204,490,58,142911,292
2007,722,5.125,4,2003,7720,28261,1204,490,58,142911,292
2007,1139,22.025,11,1996,7720,28261,1204,490,58,142911,292
2007,1040,19.675,11,1996,7720,28261,1204,490,58,142911,292
2007,692,5.85,3,2004,7720,28261,1204,490,58,142911,292
2007,1275,23.25,11,1996,7720,28261,1204,490,58,142911,292
2007,1095,19.85,11,1996,7720,28261,1204,490,58,142911,292
2007,885,7.3,5,2002,7720,28261,1204,490,58,142911,292
2007,704,5.725,3,2004,7720,28261,1204,490,58,142911,292
2007,1193,22.7,12,1995,7720,28261,1204,490,58,142911,292
2007,691,4.6,3,2004,7720,28261,1204,490,58,142911,292
2007,874,10.375,6,2001,7720,28261,1204,490,58,142911,292
2007,1073,17.05,12,1995,7720,28261,1204,490,58,142911,292
2007,1252,0,12,1995,7720,28261,1204,490,58,142911,292
2007,1108,21.55,12,1995,7720,28261,1204,490,58,142911,292
2007,1100,16.45,12,1995,7720,28261,1204,490,58,142911,292
2007,686,0.45,2,2005,7720,28261,1204,490,58,142911,292
2007,1124,22.675,12,1995,7720,28261,1204,490,58,142911,292
2007,622,3.6,2,2005,7720,28261,1204,490,58,142911,292
2007,1161,0,11,1996,7720,28261,1204,490,58,142911,292
2007,689,5.05,3,2004,7720,28261,1204,490,58,142911,292
2007,1193,23.65,12,1995,7720,28261,1204,490,58,142911,292
2007,646,5.075,3,2004,7720,28261,1204,490,58,142911,292
2007,942,11.75,11,1996,7720,28261,1204,490,58,142911,292
2007,1128,20.45,12,1995,7720,28261,1204,490,58,142911,292
2007,917,14.775,11,1996,7720,28261,1204,490,58,142911,292
2007,704,6.375,4,2003,7720,28261,1204,490,58,142911,292
2007,640,3.425,2,2005,7720,28261,1204,490,58,142911,292
2007,1169,0,12,1995,7720,28261,1204,490,58,142911,292
2007,1129,0,12,1995,7720,28261,1204,490,58,142911,292
2007,1055,0,11,1996,7720,28261,1204,490,58,142911,292
2007,1005,14.625,12,1995,7720,28261,1204,490,58,142911,292
