SITE,TURTLE,STREAM WIDTH (M),AVG FLOW (M/S),DISTANCE (M),CANOPY,ASSESSMENT,Artemisia sp.,Rumex sp.,Symphyotrichium puniceum,Ranunculus sp. ,Juncaceae,Oxalis sp.,Rosa multiflora,Stellaria media,Impatiens capensis,Galium palustre,Poaceae,Symphyotrichium ericoides,Solidago sp.,Eupatorium perfoliatum,Euthamia graminifolia,Menthus sp.,Polygonum sp.,Salix sp.,Fragaria virginiana,Alnus sp.,Angelica atropurpurea,Pastinaca sativa,Bryophyta,Taraxacum officinale,Alliaria petiolata,Symphyotrichum novae-angliae,Myosotis sp.,Veronica sp.,Snails,Slugs,Other organisms
CC,0,8.2,0.6132,8.62,0.5424,156,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
CC,0,17.5,0.47111,5.7,0.5944,125,3,0,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
CC,0,11.6,0.49293,16.6,0.9584,153,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
CC,0,10.8,0.307,4.5,0.532,142,3,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
AC,0,20.2,0,2.1,0.818,86,0,0,1,3,0,0,0,0,0,0,1,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
AC,0,9.7,0.3497,3.1,0.8059,145,0,0,2,3,0,2,0,0,1,3,0,0,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,7,2,1
AC,0,6.7,0.2644,1.9,0.7504,146,0,0,0,3,0,1,0,0,0,0,1,0,1,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,2,4,1
AC,0,7.8,0.3941,2.4,0.2928,151,0,0,2,1,1,1,0,0,1,0,2,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
KC,0,5.8,0.4623,6.6,0.7192,121,0,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,10,14,0
KC,0,10.05,0.2948,2.2,0.8752,150,0,0,0,0,1,0,1,0,1,0,2,0,2,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1
KC,0,8.8,0.3407,1.8,0.7712,156,0,0,0,1,0,1,0,1,0,2,2,0,0,0,1,0,2,0,1,0,3,0,0,0,1,1,0,0,0,1,0
KC,0,3.3,0.2096,2.6,0.4973,153,0,0,2,1,2,0,1,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1
CB,0,3.9,0.107,3.4,1,146,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,2,0,0,2,1,2,0,0,0,0,1,1
CB,0,4,0.4464,3,0.6672,154,0,0,0,3,0,0,0,1,2,0,1,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0
CB,0,4,0,1.5,0.9012,135,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,2,2
CB,0,3.8,0.045,2.4,0.5308,125,0,0,0,2,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
CC,1,14.9,0.365,23.3,0.2668,138,3,1,0,0,0,0,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
CC,1,17.31,0.221,2,0.8232,94,0,0,1,1,1,0,0,1,2,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CC,1,10,0.958,22.3,0.454,140,3,1,0,1,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CC,1,10,0.958,18.4,1,140,1,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
AC,1,9.2,0.7407,8.4,0.8232,137,0,1,2,3,0,1,2,0,0,1,1,0,2,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0,3,0,0
