date,site,Length (mm),Weight (gm),Sex,Stage,Count
4/10/2017,Shadow Brook,0,,Male,Ripe,1
4/12/2017,Hayden Creek,0,,Male,Ripe,1
4/17/2009,Cripple Creek,340,,Male,Ripe,1
4/17/2009,Cripple Creek,353,,Male,Ripe,1
4/5/2009,Hayden Creek,354,,Male,Ripe,1
4/20/2009,Shadow Brook,360,,Male,Spent,1
4/12/2009,Shadow Brook,364,,Male,Ripe,1
4/16/2009,Cripple Creek,365,,Male,Ripe,1
4/18/2009,Shadow Brook,366,,Male,Ripe,1
4/16/2009,Cripple Creek,369,,Male,Ripe,1
4/24/2018,Shadow Brook,369,673,Male,Ripe,1
4/5/2009,Cripple Creek,370,,Male,Ripe,1
4/5/2009,Hayden Creek,371,,Male,Ripe,1
4/10/2018,Shadow Brook,372,,Male,Ripe,1
4/7/2009,Shadow Brook,373,539,Male,Ripe,1
4/12/2009,Hayden Creek,373,,Male,Ripe,1
4/18/2009,Shadow Brook,374,,Male,Ripe,1
4/9/2009,Hayden Creek,375,425,Male,Ripe,1
4/12/2009,Shadow Brook,376,,Male,Ripe,1
4/17/2009,Cripple Creek,376,,Male,Ripe,1
4/20/2009,Hayden Creek,376,,Male,Spent,1
4/22/2013,Shadow Brook,376,,Male,Ripe,1
4/12/2009,Shadow Brook,377,,Male,Ripe,1
4/16/2009,Shadow Brook,377,,Male,Ripe,1
4/17/2009,Cripple Creek,377,,Male,Ripe,1
4/9/2009,Hayden Creek,378,482,Male,Ripe,1
4/17/2009,Cripple Creek,378,,Male,Ripe,1
4/9/2009,Hayden Creek,379,454,Male,Hard,1
4/7/2009,Hayden Creek,380,737,Male,Ripe,1
4/9/2009,Hayden Creek,380,454,Male,Ripe,1
4/12/2009,Hayden Creek,380,,Male,Ripe,1
4/12/2009,Hayden Creek,380,,Male,Ripe,1
4/18/2009,Shadow Brook,380,,Male,Ripe,1
4/12/2009,Shadow Brook,381,,Male,Ripe,1
4/12/2009,Shadow Brook,381,,Male,Ripe,1
4/14/2009,Hayden Creek,382,,Male,Ripe,1
4/5/2009,Hayden Creek,384,,Male,Ripe,1
4/7/2009,Hayden Creek,384,595,Male,Ripe,1
4/17/2009,Cripple Creek,384,,Male,Ripe,1
4/7/2009,Hayden Creek,385,567,Male,Ripe,1
4/12/2009,Shadow Brook,385,,Male,Ripe,1
4/15/2013,Shadow Brook,385,,Male,Ripe,1
4/5/2009,Shadow Brook,386,,Male,Ripe,1
4/10/2009,Hayden Creek,388,,Male,Ripe,1
4/7/2009,Hayden Creek,390,539,Male,Ripe,1
4/12/2009,Hayden Creek,390,,Male,Ripe,1
4/7/2009,Hayden Creek,392,595,Male,Ripe,1
4/9/2009,Hayden Creek,392,595,Male,Ripe,1
4/17/2009,Shadow Brook,392,,Male,Ripe,1
4/18/2009,Shadow Brook,393,,Male,Ripe,1
4/17/2009,Cripple Creek,394,,Male,Spent,1
4/12/2017,Shadow Brook,394,,Male,Ripe,1
4/14/2017,Shadow Brook,394,,Male,Ripe,1
4/20/2009,Hayden Creek,395,,Male,Spent,1
4/10/2009,Shadow Brook,396,,Male,Ripe,1
4/14/2009,Hayden Creek,396,,Male,Ripe,1
4/15/2013,Shadow Brook,396,,Male,Ripe,1
4/7/2009,Hayden Creek,397,652,Male,Ripe,1
4/7/2009,Hayden Creek,397,680,Male,Ripe,1
4/9/2009,Hayden Creek,397,567,Male,Ripe,1
4/14/2009,Hayden Creek,397,,Male,Ripe,1
4/15/2013,Shadow Brook,397,,Male,Ripe,1
4/17/2009,Cripple Creek,398,,Male,Ripe,1
4/17/2009,Shadow Brook,398,,Male,Ripe,1
4/17/2009,Cripple Creek,399,,Male,Ripe,1
4/18/2009,Shadow Brook,399,,Male,Ripe,1
4/18/2013,Shadow Brook,399,,Male,Ripe,1
4/7/2009,Hayden Creek,400,624,Male,Ripe,1
4/12/2009,Leatherstocking Creek,400,,Male,Ripe,1
4/17/2009,Cripple Creek,400,,Male,Ripe,1
4/17/2009,Shadow Brook,400,,Male,Ripe,1
4/20/2009,Shadow Brook,400,,Male,Ripe,1
4/20/2017,Cripple Creek,400,,Male,Ripe,1
4/17/2009,Cripple Creek,401,,Male,Ripe,1
4/17/2013,Shadow Brook,401,,Male,Ripe,1
4/18/2013,Shadow Brook,401,,Male,Ripe,1
4/5/2009,Shadow Brook,402,,Male,Ripe,1
4/18/2009,Shadow Brook,402,,Male,Ripe,1
4/13/2017,Hayden Creek,402,,Male,Ripe,1
4/5/2009,Hayden Creek,403,,Male,Ripe,1
4/16/2009,Shadow Brook,403,,Male,Ripe ,1
4/18/2009,Shadow Brook,403,,Male,Ripe,1
