lake,date,month,year,depth,temp,pH,do_mgl,cond,do_sat
Otsego Lake,1/29/1988,1,1988,0.1,0.39,7.88,12.7,0.3,
Otsego Lake,1/29/1988,1,1988,2,1.43,7.88,12.2,0.297,
Otsego Lake,1/29/1988,1,1988,4,1.47,7.89,12.2,0.301,
Otsego Lake,1/29/1988,1,1988,6,1.49,7.89,12.1,0.301,
Otsego Lake,1/29/1988,1,1988,8,1.59,7.86,11.7,0.302,
Otsego Lake,1/29/1988,1,1988,10,1.61,7.86,11.8,0.308,
Otsego Lake,1/29/1988,1,1988,12,1.66,7.85,11.7,0.309,
Otsego Lake,1/29/1988,1,1988,14,1.75,7.86,11.8,0.309,
Otsego Lake,1/29/1988,1,1988,16,1.79,7.84,11.5,0.308,
Otsego Lake,1/29/1988,1,1988,18,1.86,7.82,11.3,0.309,
Otsego Lake,1/29/1988,1,1988,20,1.94,7.82,11.3,0.311,
Otsego Lake,1/29/1988,1,1988,25,2.16,7.8,10.9,0.308,
Otsego Lake,1/29/1988,1,1988,30,2.38,7.79,10.7,0.302,
Otsego Lake,1/29/1988,1,1988,35,2.43,7.79,10.6,0.307,
Otsego Lake,1/29/1988,1,1988,40,2.44,7.77,10.5,0.308,
Otsego Lake,1/29/1988,1,1988,42,2.41,7.77,10.6,0.307,
Otsego Lake,1/29/1988,1,1988,44,2.52,7.76,10.4,0.31,
Otsego Lake,1/29/1988,1,1988,46,2.65,7.71,9.8,0.308,
Otsego Lake,1/29/1988,1,1988,48,2.84,7.56,8.4,0.32,
Otsego Lake,2/5/1988,2,1988,0.1,0.32,7.12,12.2,0.273,
Otsego Lake,2/5/1988,2,1988,2,1.68,7.27,11.6,0.289,
Otsego Lake,2/5/1988,2,1988,4,1.82,7.33,11.2,0.291,
Otsego Lake,2/5/1988,2,1988,6,1.8,7.4,11.3,0.294,
Otsego Lake,2/5/1988,2,1988,8,1.78,7.47,11.6,0.298,
Otsego Lake,2/5/1988,2,1988,10,1.79,7.51,11.7,0.296,
Otsego Lake,2/5/1988,2,1988,12,1.8,7.55,11.6,0.299,
Otsego Lake,2/5/1988,2,1988,14,1.91,7.54,11.3,0.294,
Otsego Lake,2/5/1988,2,1988,16,1.97,7.54,10.9,0.296,
Otsego Lake,2/5/1988,2,1988,18,1.99,7.55,11,0.299,
Otsego Lake,2/5/1988,2,1988,20,2.15,7.55,10.7,0.293,
Otsego Lake,2/5/1988,2,1988,25,2.29,7.56,10.4,0.292,
Otsego Lake,2/5/1988,2,1988,30,2.39,7.58,10.4,0.289,
Otsego Lake,2/5/1988,2,1988,35,2.31,7.61,10.5,0.296,
Otsego Lake,2/5/1988,2,1988,40,2.28,7.62,10.5,0.298,
Otsego Lake,2/5/1988,2,1988,42,2.34,7.61,10.4,0.298,
Otsego Lake,2/18/1988,2,1988,0.1,0.88,8.01,13.5,0.271,
Otsego Lake,2/18/1988,2,1988,2,2.17,7.88,11.6,0.288,
Otsego Lake,2/18/1988,2,1988,4,2.31,7.89,11.6,0.29,
Otsego Lake,2/18/1988,2,1988,6,2.34,7.88,11.5,0.291,
Otsego Lake,2/18/1988,2,1988,8,2.35,7.86,11.3,0.292,
Otsego Lake,2/18/1988,2,1988,10,2.37,7.84,11,0.293,
Otsego Lake,2/18/1988,2,1988,12,2.34,7.83,11,0.296,
Otsego Lake,2/18/1988,2,1988,14,2.3,7.84,11.2,0.298,
Otsego Lake,2/18/1988,2,1988,16,2.28,7.83,11.1,0.299,
Otsego Lake,2/18/1988,2,1988,18,2.31,7.82,10.9,0.299,
Otsego Lake,2/18/1988,2,1988,20,2.45,7.8,10.6,0.296,
Otsego Lake,2/18/1988,2,1988,25,2.5,7.78,10.5,0.296,
Otsego Lake,2/18/1988,2,1988,30,2.62,7.78,10.3,0.295,
Otsego Lake,2/18/1988,2,1988,35,2.49,7.76,10.4,0.297,
Otsego Lake,2/18/1988,2,1988,40,2.68,7.7,9.7,0.295,
Otsego Lake,2/18/1988,2,1988,42,2.61,7.69,9.8,0.305,
Otsego Lake,2/18/1988,2,1988,44,2.66,7.67,9.6,0.299,
Otsego Lake,2/18/1988,2,1988,46,2.7,7.62,9.2,0.304,
Otsego Lake,2/18/1988,2,1988,48,2.66,7.56,9,0.324,
Otsego Lake,2/26/1988,2,1988,0.1,1.99,7.41,12.2,0.289,
Otsego Lake,2/26/1988,2,1988,2,2.39,7.59,11.4,0.288,
Otsego Lake,2/26/1988,2,1988,4,2.36,7.67,11.3,0.29,
Otsego Lake,2/26/1988,2,1988,6,2.35,7.69,11.3,0.29,
Otsego Lake,2/26/1988,2,1988,8,2.34,7.72,11.4,0.291,
Otsego Lake,2/26/1988,2,1988,10,2.23,7.7,11.2,0.293,
Otsego Lake,2/26/1988,2,1988,12,2.23,7.73,11.4,0.293,
Otsego Lake,2/26/1988,2,1988,14,2.21,7.73,11.4,0.295,
Otsego Lake,2/26/1988,2,1988,16,2.31,7.69,10.7,0.294,
Otsego Lake,2/26/1988,2,1988,18,2.39,7.67,10.6,0.294,
Otsego Lake,2/26/1988,2,1988,20,2.43,7.66,10.4,0.29,
Otsego Lake,2/26/1988,2,1988,25,2.51,7.66,10.4,0.293,
Otsego Lake,2/26/1988,2,1988,30,2.49,7.65,10.3,0.296,
Otsego Lake,2/26/1988,2,1988,35,2.44,7.65,10.3,0.3,
Otsego Lake,2/26/1988,2,1988,40,2.6,7.61,9.9,0.299,
Otsego Lake,2/26/1988,2,1988,42,2.59,7.57,9.5,0.299,
