site,secchi,increase
1,3.29519531890943,0
2,3.18298416212482,1
3,2.76441833815359,0
4,3.56274952946873,0
5,3.5273757396903,0
6,3.77269498214784,0
7,3.23102257207499,1
8,2.98898516833372,0
9,3.30837230667012,0
10,3.03956077538403,0
11,4.01212572647271,0
12,4.231791143486,0
13,3.21747172779807,0
14,3.66606262596853,0
15,3.26595599336993,0
16,3.93938959098017,0
17,3.01237162298566,0
18,2.95791228001148,0
19,2.81973172236558,0
20,4.36571756956966,0
21,3.69854153705485,0
22,3.07789077973833,1
23,2.8347266468446,0
24,3.42230627032913,0
25,3.07848862991146,0
26,2.42822417176363,0
27,3.08144436101755,1
28,3.94166429836371,0
29,3.14763887968006,0
30,4.04649722967813,0
1,3.29519531890943,0
2,3.18298416212482,0
3,2.76441833815359,0
4,3.56274952946873,0
5,3.5273757396903,0
6,3.77269498214784,0
7,3.23102257207499,0
8,2.98898516833372,0
9,3.30837230667012,0
10,3.03956077538403,0
11,4.01212572647271,0
12,4.231791143486,0
13,3.21747172779807,0
14,3.66606262596853,0
15,3.26595599336993,0
16,3.93938959098017,0
17,3.01237162298566,0
18,2.95791228001148,0
19,2.81973172236558,0
20,4.36571756956966,0
21,3.69854153705485,0
22,3.07789077973833,0
23,2.8347266468446,0
24,3.42230627032913,0
25,3.07848862991146,0
26,2.42822417176363,0
27,3.08144436101755,0
28,3.94166429836371,0
29,3.14763887968006,0
30,4.04649722967813,0
1,3.29519531890943,1
2,3.18298416212482,0
3,2.76441833815359,0
4,3.56274952946873,1
5,3.5273757396903,0
6,3.77269498214784,0
7,3.23102257207499,0
8,2.98898516833372,0
9,3.30837230667012,0
10,3.03956077538403,1
11,4.01212572647271,0
12,4.231791143486,0
13,3.21747172779807,0
14,3.66606262596853,0
15,3.26595599336993,0
16,3.93938959098017,0
17,3.01237162298566,1
18,2.95791228001148,0
19,2.81973172236558,0
20,4.36571756956966,0
21,3.69854153705485,0
22,3.07789077973833,0
23,2.8347266468446,1
24,3.42230627032913,0
25,3.07848862991146,0
26,2.42822417176363,0
27,3.08144436101755,0
28,3.94166429836371,0
29,3.14763887968006,0
30,4.04649722967813,0
1,3.29519531890943,0
2,3.18298416212482,0
3,2.76441833815359,0
4,3.56274952946873,0
5,3.5273757396903,0
6,3.77269498214784,1
7,3.23102257207499,0
8,2.98898516833372,0
9,3.30837230667012,0
10,3.03956077538403,0
11,4.01212572647271,0
12,4.231791143486,0
13,3.21747172779807,0
14,3.66606262596853,0
15,3.26595599336993,0
16,3.93938959098017,0
17,3.01237162298566,0
18,2.95791228001148,0
19,2.81973172236558,0
20,4.36571756956966,0
21,3.69854153705485,0
22,3.07789077973833,0
23,2.8347266468446,0
24,3.42230627032913,0
25,3.07848862991146,0
26,2.42822417176363,1
27,3.08144436101755,0
28,3.94166429836371,0
29,3.14763887968006,1
30,4.04649722967813,0
1,3.29519531890943,0
2,3.18298416212482,0
3,2.76441833815359,0
4,3.56274952946873,0
5,3.5273757396903,0
6,3.77269498214784,0
7,3.23102257207499,0
8,2.98898516833372,1
9,3.30837230667012,0
10,3.03956077538403,0
11,4.01212572647271,0
12,4.231791143486,0
13,3.21747172779807,0
14,3.66606262596853,0
15,3.26595599336993,0
16,3.93938959098017,0
17,3.01237162298566,0
18,2.95791228001148,0
19,2.81973172236558,0
20,4.36571756956966,0
21,3.69854153705485,0
22,3.07789077973833,0
23,2.8347266468446,0
24,3.42230627032913,0
25,3.07848862991146,0
26,2.42822417176363,0
27,3.08144436101755,0
28,3.94166429836371,0
29,3.14763887968006,0
30,4.04649722967813,0
