Name of Water,Year,Date,Site ,CommonName,Species Code,Fish Number,Total Length
Saratoga,2007,10/3/2007,1,BG,598,1,40
Saratoga,2007,10/3/2007,1,BG,598,2,56
Saratoga,2007,10/3/2007,1,BG,598,3,62
Saratoga,2007,10/3/2007,1,BG,598,4,63
Saratoga,2007,10/3/2007,1,BG,598,5,64
Saratoga,2007,10/3/2007,1,BG,598,6,67
Saratoga,2007,10/3/2007,1,BG,598,7,70
Saratoga,2007,10/3/2007,1,BG,598,8,70
Saratoga,2007,10/3/2007,1,BG,598,9,70
Saratoga,2007,10/3/2007,1,BG,598,10,72
Saratoga,2007,10/3/2007,1,BG,598,11,72
Saratoga,2007,10/3/2007,1,BG,598,12,74
Saratoga,2007,10/3/2007,1,BG,598,13,76
Saratoga,2007,10/3/2007,1,BG,598,14,78
Saratoga,2007,10/3/2007,1,BG,598,15,78
Saratoga,2007,10/3/2007,1,BG,598,16,83
Saratoga,2007,10/3/2007,1,BG,598,17,83
Saratoga,2007,10/3/2007,1,BG,598,18,85
Saratoga,2007,10/3/2007,1,BG,598,19,85
Saratoga,2007,10/3/2007,1,BG,598,20,85
Saratoga,2007,10/3/2007,1,BG,598,21,85
Saratoga,2007,10/3/2007,1,BG,598,22,86
Saratoga,2007,10/3/2007,1,BG,598,23,86
Saratoga,2007,10/3/2007,1,BG,598,24,87
Saratoga,2007,10/3/2007,1,BG,598,25,87
Saratoga,2007,10/3/2007,1,BG,598,26,87
Saratoga,2007,10/3/2007,1,BG,598,27,88
Saratoga,2007,10/3/2007,1,BG,598,28,88
Saratoga,2007,10/3/2007,1,BG,598,29,89
Saratoga,2007,10/3/2007,1,BG,598,30,89
Saratoga,2007,10/3/2007,1,BG,598,31,89
Saratoga,2007,10/3/2007,1,BG,598,32,89
Saratoga,2007,10/3/2007,1,BG,598,33,91
Saratoga,2007,10/3/2007,1,BG,598,34,91
Saratoga,2007,10/3/2007,1,BG,598,35,91
Saratoga,2007,10/3/2007,1,BG,598,36,92
Saratoga,2007,10/3/2007,1,BG,598,37,92
Saratoga,2007,10/3/2007,1,BG,598,38,92
Saratoga,2007,10/3/2007,1,BG,598,39,92
Saratoga,2007,10/3/2007,1,BG,598,40,92
Saratoga,2007,10/3/2007,1,BG,598,41,93
Saratoga,2007,10/3/2007,1,BG,598,42,94
Saratoga,2007,10/3/2007,1,BG,598,43,95
Saratoga,2007,10/3/2007,1,BG,598,44,95
Saratoga,2007,10/3/2007,1,BG,598,45,95
Saratoga,2007,10/3/2007,1,BG,598,46,95
Saratoga,2007,10/3/2007,1,BG,598,47,96
Saratoga,2007,10/3/2007,1,BG,598,48,96
Saratoga,2007,10/3/2007,1,BG,598,49,96
Saratoga,2007,10/3/2007,1,BG,598,50,96
Saratoga,2007,10/3/2007,1,BG,598,51,97
Saratoga,2007,10/3/2007,1,BG,598,52,100
Saratoga,2007,10/3/2007,1,BG,598,53,101
Saratoga,2007,10/3/2007,1,BG,598,54,104
Saratoga,2007,10/3/2007,1,BG,598,55,108
Saratoga,2007,10/3/2007,1,BG,598,56,108
Saratoga,2007,10/3/2007,1,BG,598,57,108
