Sex,Age,Length,Mass
B,3,29.5,440
B,3,32,480
B,4,32,580
B,4,33,540
B,4,33,500
B,3,34,600
B,3,34,580
B,3,34,600
B,4,34,620
B,4,34,520
B,3,34,440
B,4,34.5,640
B,4,34.5,680
B,4,35,520
B,4,35,960
B,5,35,520
B,3,35,620
B,3,35,640
B,3,35,680
B,3,35,680
B,3,35,540
B,3,35,640
B,4,35,640
B,4,35,700
B,4,35,740
B,4,35,640
B,4,35,680
B,4,35,620
B,3,35.4,560
B,3,35.5,640
B,3,35.5,780
B,3,35.5,620
B,3,35.5,680
B,4,35.5,640
B,3,35.5,600
B,3,36,720
B,3,36,720
B,3,36,800
B,5,36,560
B,4,36,720
B,4,36,720
B,4,36,800
B,4,36,700
B,3,36,620
B,3,36,640
B,4,36,660
B,3,36,600
B,3,36,680
B,4,36.5,720
B,3,36.5,660
B,5,36.5,680
B,3,36.5,680
B,4,36.5,720
B,3,36.5,700
B,4,36.5,700
B,5,36.5,740
B,4,36.5,740
B,5,36.5,760
B,3,36.5,1120
B,4,36.5,760
B,4,37,780
B,4,37,660
B,4,37,700
B,5,37,800
B,3,37,680
B,4,37,680
B,3,37,740
B,3,37,840
B,4,37,780
B,4,37,680
B,4,37,680
B,3,37.5,800
B,3,37.5,780
B,4,37.5,840
B,4,37.5,600
B,4,37.5,700
B,3,38,720
B,4,38,780
B,3,38,1160
B,4,38,800
B,3,38,860
B,4,38,720
B,4,38,780
B,5,38,940
B,4,38,780
B,4,38,820
B,4,38,780
B,5,38,740
B,4,38,980
B,3,38,780
B,3,38.5,780
B,4,38.5,820
B,4,38.5,940
B,5,38.5,940
B,4,38.5,840
B,4,38.5,760
B,3,38.5,820
B,3,39,680
B,4,39,860
B,4,39,860
B,4,39,960
B,3,39,800
B,5,39,900
B,4,39,880
B,5,39,900
B,5,39,900
B,4,39,980
B,4,39,980
R,5,39,980
B,4,39,1000
B,4,39,940
B,4,39,820
B,5,39,840
B,4,39.5,940
B,5,39.5,1000
B,5,39.5,940
B,4,39.5,900
B,4,40,920
B,3,40,840
B,3,40,900
B,5,40,940
B,4,40,740
B,4,40,820
B,3,40,900
B,4,40,940
B,5,40,980
B,4,40,900
B,4,40,940
B,4,40,1020
B,5,40,1060
R,5,40,1200
R,4,40,1220
B,5,40,840
B,5,40,900
B,4,40,900
B,5,40,760
B,5,40,1040
B,4,40,920
B,3,40,840
B,4,40,920
B,4,40,980
R,6,40,1160
B,5,40,940
B,3,40,900
B,4,40,940
R,4,40,1100
R,4,40,1140
B,4,40.5,960
B,5,40.5,580
B,4,40.5,1240
B,4,40.5,960
B,4,40.5,980
B,6,40.5,1100
B,3,40.5,1120
B,4,40.5,940
B,5,40.5,860
B,4,40.5,780
B,3,41,1000
B,4,41,1160
B,3,41,900
B,4,41,1080
B,5,41,1000
B,5,41,1000
B,4,41,900
B,4,41,940
B,5,41,1060
B,4,41,1100
B,5,41,1100
R,5,41,1100
B,5,41,1200
B,4,41,940
B,3,41,1060
B,3,41,960
B,4,41,980
B,4,41,1000
B,6,41,1060
B,4,41,780
B,5,41,880
B,4,41,1000
B,4,41,900
B,3,41,920
B,4,41,1000
R,6,41,1020
B,5,41,1060
B,4,41,920
B,5,41,980
B,4,41.5,920
B,4,41.5,920
B,5,41.5,1020
B,5,41.5,980
B,4,41.5,1020
B,4,41.5,840
B,3,41.5,980
B,4,41.5,1020
B,5,41.5,1080
B,4,41.5,960
B,4,41.5,1000
B,5,42,1000
B,4,42,1020
B,5,42,1120
B,5,42,1080
B,5,42,1180
B,3,42,940
B,3,42,1040
B,5,42,1100
B,6,42,1180
B,5,42,1220
R,4,42,1240
B,4,42,960
B,4,42,960
B,4,42,880
B,3,42,980
B,4,42,1080
B,4,42,1120
B,5,42,1180
B,3,42,900
B,4,42,1000
B,3,42,1020
B,4,42,1040
B,4,42,1060
B,4,42,1100
B,5,42,1140
R,5,42,1380
R,4,42,1120
B,5,42,980
B,5,42,980
R,5,42,1300
B,6,42,1000
B,4,42,1100
B,4,42.5,1040
B,4,42.5,980
R,4,42.5,940
B,4,42.5,960
B,4,42.5,1020
B,4,42.5,1080
B,4,42.5,960
B,5,42.5,1040
B,4,43,940
B,5,43,1040
B,4,43,1160
B,4,43,1200
B,5,43,1220
B,5,43,1320
B,4,43,920
B,5,43,1000
R,6,43,1460
R,5,43,1400
B,4,43,1180
B,5,43,1180
B,5,43,1200
B,5,43,1200
B,4,43,1280
B,5,43,1440
B,3,43,1020
B,3,43,1200
B,4,43,1020
B,4,43,1180
R,4,43,1400
R,5,43,1140
B,4,43,1360
B,4,43,940
B,6,43,1040
B,4,43,1220
B,3,43,1180
R,4,43,1440
B,5,43,1040
B,4,43,1140
B,5,43,940
B,4,43,1040
R,4,43,1260
B,4,43,1160
B,4,43.5,1220
B,4,43.5,1120
B,4,43.5,1180
B,5,43.5,1120
R,5,43.5,1180
R,5,43.5,1180
B,4,43.5,1180
B,3,43.5,1100
B,4,43.5,1180
B,4,43.5,1120
B,6,43.5,1100
R,5,43.5,1180
R,5,43.5,1440
R,5,44,1260
R,5,44,1180
B,5,44,1300
B,4,44,1120
B,3,44,1140
B,5,44,1160
R,4,44,1180
B,4,44,1220
B,4,44,1380
R,5,44,1360
B,4,44,1120
B,4,44,1260
B,5,44,1220
R,5,44,1240
R,6,44,1580
B,5,44,880
R,4,44,1160
B,4,44,920
B,4,44,1120
R,5,44,770
B,5,44,1020
R,5,44,1540
B,5,44,1200
B,5,44,980
R,4,44,1340
B,4,44,1180
B,4,44.5,1060
B,4,44.5,1240
R,5,44.5,1340
B,5,44.5,1200
R,6,44.5,1500
B,4,44.5,1060
B,5,44.5,1340
B,5,44.5,1320
R,4,44.5,1320
R,4,44.5,1380
R,5,44.5,1300
B,4,44.5,1080
R,4,44.5,1180
B,4,45,1140
R,4,45,1580
B,4,45,960
B,5,45,1180
R,4,45,1420
R,5,45,1380
R,5,45,1220
B,5,45,1340
R,5,45,1380
R,6,45,1400
R,5,45,1420
R,6,45,1460
R,6,45,1620
B,3,45,720
R,4,45,1620
R,6,45,1280
B,5,45,1380
B,3,45,1260
R,6,45,1480
R,4,45,1280
R,4,45,1400
R,6,45,1560
R,5,45,1420
R,4,45,1460
R,4,45,1540
R,4,45.5,1540
B,4,45.5,1360
R,5,45.5,1460
B,4,45.5,1420
R,4,45.5,1280
R,4,45.5,1320
B,5,46,1360
R,6,46,1420
R,5,46,1540
R,5,46,1320
R,5,46,1780
R,4,46,1440
B,4,46,1460
R,6,46,1480
R,4,46,1400
