ID,stage,fl,mass,nka,osmolality,pref,max,n.switch
31B1F,Smolt,216,97.5,6.667,318,0.363822925828203,83,93
31B20,Smolt,184,63,4.444,306,0.392248972401644,47,107
31B27,Presmolt,183,61.1,1.429,418,0.3378024852845,45,80
31B29,Postsmolt,204,76.4,3.899,356,0.4551466359977,76,123
31B2A,Presmolt,218,117,3.623,419,0.433746425166826,62,107
31B2E,Postsmolt,199,70.8,2.151,355,0.482858803021499,59,100
31B30,Postsmolt,197,80.1,2.755,380,0.435844614479105,83,108
31B32,Postsmolt,187,64.6,3.711,402,0.370080937761652,112,77
31B33,Postsmolt,202,76.4,5.084,406,0.423002577319588,54,88
31B34,Presmolt,194,65.3,3.447,425,0.379962779156328,38,100
31B35,Postsmolt,190,65.3,2.208,359,0.43677010343677,57,133
31B38,Postsmolt,186,58.3,4.336,339,0.432822628167354,51,142
31B3A,Smolt,187,68.4,5.96,330,0.280758017492711,117,77
31B3B,Smolt,203,86.2,0.531,378,0.337011033099298,72,154
31B3C,Smolt,209,88.2,8.101,349,0.686173264486517,1521,111
31B3E,Presmolt,188,68.9,3.292,368,0.532479141835518,61,170
31B3F,Smolt,216,86.2,5.101,394,0.308767841538013,75,101
31B41,Postsmolt,194,70.2,1.695,398,0.446695760598504,47,109
31B42,Postsmolt,207,91.1,1.903,336,0.592149220489978,107,87
31B43,Postsmolt,191,70.2,5.637,339,0.495684340320592,136,155
31B44,Smolt,205,83.6,4.322,367,0.225062344139651,44,80
31B45,Postsmolt,210,82.5,3.646,332,0.426403641881639,81,120
31B46,Smolt,177,59.3,1.298,335,0.553776435045317,49,157
31B47,Presmolt,165,43.2,4.684,385,0.352657004830918,29,94
31B49,Smolt,167,46.1,2.082,328,0.52101087275933,95,174
31B4C,Postsmolt,182,50.6,3.639,375,0.540482737549649,200,121
31B4E,Presmolt,211,99.3,2.633,402,0.383476764199656,49,53
31B50,Presmolt,197,84.3,1.209,367,0.465811965811966,33,209
31B55,Postsmolt,178,52.3,6.406,344,0.445738810545677,73,131
31B57,Postsmolt,184,56.5,3.735,380,0.429802955665025,77,143
31B58,Postsmolt,192,61,7.712,321,0.419064748201439,93,99
31B5B,Smolt,187,62.9,3.232,321,0.518484570730217,58,138
31B60,Postsmolt,195,78.6,7.847,366,0.392632781267847,66,132
31B62,Presmolt,192,76.6,3.875,355,0.216641452344932,79,76
31B64,Presmolt,189,78.8,5.493,343,0.381882202304738,80,96
31B65,Postsmolt,195,63.7,2.176,410,0.484507897934386,64,98
31B66,Smolt,184,62.1,10.543,316,0.582237896761783,1030,82
31B69,Smolt,212,94.9,3.74,330,0.383670963781461,66,114
31B6C,Smolt,176,51.7,6.146,315,0.371866705986435,69,136
31B6E,Postsmolt,200,78.6,2.265,367,0.565543071161049,289,45
31B70,Presmolt,200,80.5,1.987,433,0.396116504854369,60,100
31B72,Presmolt,184,67.2,1.136,362,0.503242176487172,43,147
31B74,Presmolt,203,88.4,2.406,396,0.422879565348627,59,110
31B76,Postsmolt,187,61.4,4.506,356,0.382701062215478,110,113
