date,high_f,low_f
1/1/2009,19.9,0
1/2/2009,17.1,3
1/3/2009,28,12.9
1/4/2009,28,12.9
1/5/2009,33.1,10.9
1/6/2009,32,12
1/7/2009,35.1,12
1/8/2009,34,27
1/9/2009,30,12.9
1/10/2009,21.9,0
1/11/2009,21.9,1
1/12/2009,30,5
1/13/2009,24.1,10
1/14/2009,32,3
1/15/2009,12.9,-5.1
1/16/2009,12,-7.1
1/17/2009,10,-5.1
1/18/2009,33.1,-2
1/19/2009,28.9,-2
1/20/2009,26.1,5
1/21/2009,19,3
1/22/2009,19.9,3.9
1/23/2009,28,15.1
1/24/2009,37.9,16
1/25/2009,17.1,-2
1/26/2009,21,0
1/27/2009,19,3.9
1/28/2009,23,12
1/29/2009,28,17.1
1/30/2009,28,19
1/31/2009,30,9
2/1/2009,39.9,12
2/2/2009,39.9,12
2/3/2009,37.9,19.9
2/4/2009,25,-2.9
2/5/2009,19,-4
2/6/2009,10.9,-5.1
2/7/2009,21,-4
2/8/2009,45,9
2/9/2009,41,26.1
2/10/2009,37.9,19.9
2/11/2009,39,21.9
2/12/2009,45,36
2/13/2009,39,19.9
2/14/2009,30,17.1
2/15/2009,32,18
2/16/2009,33.1,16
2/17/2009,28,12
2/18/2009,32,12.9
2/19/2009,39,18
2/20/2009,37.9,8.1
2/21/2009,36,12
2/22/2009,33.1,21
2/23/2009,35.1,18
2/24/2009,23,10.9
2/25/2009,,
2/26/2009,37,30
2/27/2009,,
2/28/2009,,
3/1/2009,26.1,3.9
3/2/2009,25,1.9
3/3/2009,21.9,3
3/4/2009,18,5
3/5/2009,28,10
3/6/2009,39,16
3/7/2009,48,16
3/8/2009,42.1,14
3/9/2009,51.1,34
3/10/2009,51.1,28.9
3/11/2009,51.1,30.9
3/12/2009,51.1,21.9
3/13/2009,37.9,21
3/14/2009,41,17.1
3/15/2009,45,10
3/16/2009,42.1,10
3/17/2009,52,10.9
3/18/2009,55,32
3/19/2009,57.9,37
3/20/2009,39.9,28
3/21/2009,39,19.9
