ID,Year,Gear,Width,Removed,Status,Stay,nHooks
AL-002,2013,J,1.45,UE,1,9,1
AL-LT14-001,2014,J,6.25,ME,0,4,1
AL-LT14-003,2014,J,5.45,NaN,1,16,1
AL-LT14-004,2014,Kahle,2.77,B,0,6,1
AL-LT14-006,2014,J,4.75,ME,1,49,2
AL-LT14-006,2014,Circle,2.92,NaN,1,49,2
LT13-001  ,2013,Kahle,2.22,ME,1,29,1
LT13-003 ,2013,J,1.34,ME,0,4,1
LT13-004 ,2013,J,1.63,ME,1,33,1
LT13-008   ,2013,J,NA,LE,1,26,2
LT13-008   ,2013,J,1.09,NaN,1,26,2
LT13-009  ,2013,J,2.1,ME,1,41,1
LT13-011  ,2013,Kahle,1.62,UE,1,21,1
LT13-013 ,2013,J,1.41,B,1,20,1
LT13-015 ,2013,J,1.63,LE,1,17,1
LT13-016 ,2013,Kahle,1.65,ME,1,15,1
LT13-017 ,2013,Kahle,2.95,ME,1,13,1
LT13-022 ,2013,J,2.98,ME,1,11,1
LT13-024 ,2013,Circle,1.95,NaN,1,26,1
LT13-025 ,2013,Circle,1.43,UE,1,11,1
LT13-026 ,2013,Circle,2.36,ME,1,11,1
LT13-027 ,2013,J,2.95,P,1,80,1
LT13-030 ,2013,J,2.72,ME,1,9,1
LT13-033 ,2013,J,1.92,ME,1,131,2
LT13-033 ,2013,J,1.45,NaN,1,131,2
LT13-034 ,2013,J,1.13,ME,1,21,1
LT13-035 ,2013,J,1.27,LE,0,6,1
LT13-036  ,2013,J,1.7,NaN,1,17,2
LT13-036  ,2013,Circle,1.87,ME,1,17,2
LT13-037  ,2013,Circle,1.99,B,1,17,1
LT13-038 ,2013,Circle,1.96,NaN,1,17,1
LT13-039 ,2013,Kahle,1.99,UE,1,13,1
LT13-042 ,2013,J,1.26,ME,1,19,1
LT13-044 ,2013,J,1.51,ME,1,18,1
LT13-045 ,2013,J,1.98,ME,0,10,1
LT13-046 ,2013,J,2.11,LE,1,15,1
LT13-047 ,2013,Circle,1.57,ME,1,15,1
LT13-048 ,2013,Circle,1.96,LE,1,15,1
LT13-049 ,2013,Kahle,2.56,UE,1,14,1
LT13-052 ,2013,Circle,1.77,ME,1,12,1
LT13-053 ,2013,Circle,1.86,UE,1,12,1
LT13-054 ,2013,Circle,1.88,NaN,1,12,1
LT13-055 ,2013,Kahle,1.73,UE,1,12,1
LT13-057 ,2013,J,1.82,ME,1,11,1
LT13-058 ,2013,Circle,1.03,NaN,1,11,1
LT13-058  ,2013,J,2.25,ME,1,11,1
LT13-059 ,2013,J,1.64,UE,1,25,2
LT13-059 ,2013,J,1.48,NaN,1,25,2
LT13-060 ,2013,J,1.88,P,1,15,1
LT13-062 ,2013,Circle,1.34,ME,1,9,1
LT13-064 ,2013,J,1.83,UE,1,8,1
LT13-065 ,2013,J,2.64,F,1,14,1
LT13-069 ,2013,J,0.75,B,1,7,1
LT13-071 ,2013,J,2.54,ME,1,6,1
LT13-072 ,2013,J,1.44,ME,1,6,2
LT13-072 ,2013,J,2,NaN,1,6,2
LT13-073 ,2013,Kahle,1.55,NaN,1,12,3
LT13-073 ,2013,J,1.29,ME,1,12,3
LT13-073 ,2013,J,1,NaN,1,12,3
LT13-076 ,2013,Kahle,1.93,NaN,1,12,2
LT13-076 ,2013,J,1.21,F,1,10,2
LT13-077 ,2013,Kahle,2.02,ME,1,10,1
LT13-080 ,2013,J,1.86,ME,1,9,1
LT13-081 ,2013,Jig,2.81,ME,1,6,1
LT13-082 ,2013,J,1.96,UE,1,6,1
LT13-083 ,2013,J,2.26,UE,1,5,1
LT13-084 ,2013,Kahle,1.49,NaN,1,5,2
LT13-084 ,2013,J,1.8,UE,1,5,2
LT13-090 ,2013,J,2.29,UE,1,6,2
LT13-090 ,2013,J,1.67,NaN,1,6,2
LT13-091 ,2013,J,2.35,ME,1,39,1
LT13-093 ,2013,J,2.19,UE,1,8,1
LT13-094 ,2013,J,1.79,ME,1,5,1
LT13-095,2013,Circle,1.65,NaN,1,7,1
LT13-096 ,2013,Circle,1.62,UE,1,5,1
LT13-097 ,2013,J,2.04,P,1,7,2
LT13-097 ,2013,J,2.05,NaN,1,7,2
LT13-098 ,2013,J,1.97,ME,1,6,1
LT13-099 ,2013,Kahle,1.5,ME,1,4,1
LT13-100 ,2013,Circle,0.85,UE,1,7,1
LT13-101 ,2013,J,1.15,ME,1,6,1
LT13-102 ,2013,J,1.19,ME,1,6,1
LT13-104 ,2013,J,2.17,B,0,5,2
LT13-104 ,2013,Circle,1.56,NaN,0,5,2
LT13-105 ,2013,J,2.23,ME,1,6,1
LT13-106 ,2013,J,1.97,ME,1,6,1
LT13-107 ,2013,Circle,1.47,B,1,5,1
LT13-112 ,2013,J,1.55,ME,1,5,1
LT13-113 ,2013,J,1.55,ME,1,12,1
LT13-115 ,2013,Kahle,2.32,ME,1,12,1
LT13-116 ,2013,J,2.18,UE,1,11,1
LT13-117 ,2013,J,2.55,UE,1,33,1
LT13-119 ,2013,J,2.54,ME,1,10,1
LT13-120 ,2013,J,1.75,UE,1,10,1
LT13-121 ,2013,J,1.35,UE,1,11,1
LT13-122 ,2013,J,1.32,B,1,11,1
LT13-124 ,2013,J,1.89,UE,1,10,1
LT13-128 ,2013,J,2.32,UE,1,30,2
LT13-128 ,2013,J,2.19,NaN,1,30,2
LT13-130 ,2013,J,1.58,UE,1,13,1
LT13-132 ,2013,J,1.71,B,1,35,1
LT13-133 ,2013,Circle,2.5,ME,1,7,1
LT13-135 ,2013,Kahle,1.52,B,1,312,1
LT13-138 ,2013,J,1.26,B,1,10,1
LT13-140 ,2013,J,2.18,ME,1,10,1
LT13-141 ,2013,J,2.2,LE,1,25,2
LT13-141 ,2013,J,1.23,NaN,1,25,2
LT13-142 ,2013,J,1.85,ME,1,9,1
LT13-143,2013,J,1.73,ME,1,8,1
LT13-147 ,2013,J,1.29,B,1,15,1
LT13-148 ,2013,J,2.12,B,1,28,1
LT13-149 ,2013,Circle,1.41,NaN,1,44,1
LT13-150 ,2013,J,1.43,UE,1,6,1
LT13-152 ,2013,J,2.24,B,1,13,2
LT13-152 ,2013,J,1.77,NaN,1,13,2
LT13-153 ,2013,Circle,1.6,ME,1,304,1
LT13-154 ,2013,Kahle,0.84,LE,1,12,2
LT13-154 ,2013,Kahle,1.61,NaN,1,12,2
LT13-156,2013,Kahle,1.32,ME,1,10,1
LT13-157 ,2013,Kahle,NA,NaN,1,17,2
LT13-157 ,2013,Circle,2.07,B,1,17,2
LT13-158 ,2013,J,1.56,B,1,8,1
LT13-159 ,2013,Circle,1.51,NaN,1,8,1
LT13-160 ,2013,J,1.04,UE,1,14,2
LT13-160 ,2013,J,1,NaN,1,14,2
LT13-162 ,2013,J,2.38,ME,1,6,1
LT13-164 ,2013,J,1.48,ME,1,11,1
LT13-165 ,2013,J,2.45,UE,1,11,1
LT13-166 ,2013,J,1.68,B,1,24,1
LT13-167 ,2013,J,2.01,B,1,7,1
LT13-168 ,2013,J,2.7,LE,1,7,1
LT13-169 ,2013,J,1.27,LE,1,7,1
LT13-170 ,2013,J,1.65,ME,1,7,1
LT13-171 ,2013,Jig,1.8,F,1,7,2
LT13-171 ,2013,J,1.43,NaN,1,7,2
LT13-173 ,2013,J,1.6,UE,1,6,2
LT13-173 ,2013,J,1.22,NaN,1,6,2
LT13-174 ,2013,J,2.29,ME,1,6,1
LT13-175 ,2013,J,1.76,UE,1,10,1
LT13-177 ,2013,Circle,2,B,1,7,1
LT13-179 ,2013,Jig,1.94,P,1,7,1
LT13-180 ,2013,Circle,2.05,ME,1,5,1
LT13-181 ,2013,J,2.47,UE,1,4,1
LT13-182 ,2013,Jig,2.18,ME,1,12,1
LT13-185 ,2013,J,1.75,UE,1,12,1
LT13-186 ,2013,J,2.1,LE,1,10,1
LT13-187 ,2013,Jig,2.48,ME,1,10,1
LT13-188 ,2013,Kahle,1.9,UE,1,43,1
LT13-189 ,2013,J,1.55,B,1,8,1
LT13-190 ,2013,J,1.33,ME,1,8,1
LT13-191 ,2013,J,1.79,UE,1,7,1
LT13-194 ,2013,J,1.84,B,1,13,1
LT13-195 ,2013,Kahle,1.41,NaN,1,13,2
LT13-195 ,2013,J,2.63,ME,1,13,2
LT13-197 ,2013,J,1.29,F,1,5,1
LT13-200 ,2013,Circle,1.99,UE,1,10,1
LT13-202 ,2013,J,2.19,UE,1,35,2
LT13-202 ,2013,J,1.33,NaN,1,35,2
LT13-204,2013,Circle,1.58,ME,1,9,1
LT13-205 ,2013,J,2.29,B,1,8,1
LT13-206 ,2013,Circle,1.9,B,1,8,1
LT13-208 ,2013,J,1.64,NaN,1,20,2
LT13-208 ,2013,J,1.66,NaN,1,20,2
LT13-209 ,2013,J,2.12,ME,1,7,1
LT13-210 ,2013,Circle,1.54,ME,1,7,1
LT13-212 ,2013,Jig,2.53,UE,1,11,1
LT13-214 ,2013,Circle,1.32,NaN,1,17,1
LT13-217 ,2013,Circle,1.53,B,1,15,1
LT13-218 ,2013,Circle,1.67,ME,1,9,1
LT13-219 ,2013,Kahle,2.4,UE,1,9,1
LT13-221 ,2013,Kahle,2.07,B,1,13,1
LT13-222 ,2013,Circle,1.82,E,1,11,1
LT13-224 ,2013,J,2.32,UE,1,9,1
LT13-226 ,2013,Circle,1.47,B,1,8,1
LT13-227 ,2013,Circle,1.19,ME,1,8,1
LT13-228 ,2013,J,2.58,B,1,9,1
LT13-230 ,2013,Circle,1.32,NaN,1,6,1
LT13-231 ,2013,J,2.25,LE,1,4,1
LT13-232,2013,Circle,1.54,B,1,254,1
LT13-233 ,2013,J,2.45,LE,1,16,1
LT13-235 ,2013,J,1.68,ME,1,13,1
LT13-236 ,2013,Circle,1.73,B,1,13,1
LT13-238 ,2013,J,1.56,UE,1,11,1
LT13-239 ,2013,J,1.82,LE,1,27,1
LT13-243 ,2013,J,2.23,ME,1,8,1
LT13-244 ,2013,J,1.63,ME,1,5,1
LT13-245 ,2013,J,1.03,F,1,8,1
LT13-246 ,2013,Kahle,2.34,NaN,1,7,2
LT13-246 ,2013,J,1.12,ME,1,7,2
LT13-248  ,2013,Jig,2.31,UE,1,6,1
LT13-249 ,2013,J,1.47,B,1,6,1
LT13-251 ,2013,Circle,1.34,B,1,5,1
LT13-252 ,2013,J,1.88,F,1,4,1
LT13-253 ,2013,J,2.25,ME,1,6,1
LT13-264 ,2013,J,NA,B,1,4,1
LT14- 013 ,2014,J,3.95,ME,1,14,1
LT14- 014 ,2014,Circle,3.95,UE,1,14,1
LT14- 016 ,2014,Circle,4.6,B,1,12,1
LT14-002 ,2014,J,2.81,ME,1,23,1
LT14-003 ,2014,Circle,4.5,B,1,63,1
LT14-005 ,2014,J,4.01,ME,1,27,2
LT14-005 ,2014,J,5.5,NaN,1,22,2
LT14-008,2014,J,3.85,NaN,1,11,1
LT14-008 ,2014,J,3.88,NaN,1,11,2
LT14-008 ,2014,J,3.97,NaN,1,11,2
LT14-010 ,2014,J,3.6,ME,1,20,1
LT14-011 ,2014,J,4.55,NaN,1,10,2
LT14-011 ,2014,Circle,2.42,UE,1,10,2
LT14-015 ,2014,J,5.96,ME,1,13,1
LT14-018 ,2014,J,5.97,ME,1,10,1
LT14-019 ,2014,Circle,4,B,1,9,1
LT14-020,2014,J,3.12,B,1,19,1
LT14-021 ,2014,J,6.04,P,1,18,1
LT14-022 ,2014,J,3.14,B,1,23,1
LT14-023  ,2014,J,5.44,ME,1,17,1
LT14-024 ,2014,Kahle,3.64,UE,1,17,2
LT14-024 ,2014,J,NA,NaN,1,17,2
LT14-026 ,2014,Kahle,3.47,ME,0,8,1
LT14-028 ,2014,Kahle,3.76,UE,1,21,1
LT14-029 ,2014,J,7.34,B,1,15,1
LT14-030 ,2014,J,3.8,B,1,15,1
