NEW_KEY_CODE,Lake_Name,LATITUDE,LONGITUDE,EDU,DR_COD2,LP,AVGD_M,MAXD_M,TP,ALK,SEC,CHLRD,CHLA,COLOR,NITRATE,TN,LK_AREA_HA,LCL_AREA_HA,NET_AREA_HA,UPDIST_NET,UPDIST_LCL,URB_A,AGR_A,FOC_A,FOD_A,FOR_A,WAT_A,WEF_A,WEE_A,WET_A,URB_B,AGR_B,FOC_B,FOD_B,FOR_B,WAT_B,WEF_B,WEE_B,WET_B,URB_C,AGR_C,FOC_C,FOD_C,FOR_C,WAT_C,WEF_C,WEE_C,WET_C,URB_D,AGR_D,FOC_D,FOD_D,FOR_D,WAT_D,WEF_D,WEE_D,WET_D,URB_E,AGR_E,FOC_E,FOD_E,FOR_E,WAT_E,WEF_E,WEE_E,WET_E,URB_F,AGR_F,FOC_F,FOD_F,FOR_F,WAT_F,WEF_F,WEE_F,WET_F,URB_G,AGR_G,FOC_G,FOD_G,FOR_G,WAT_G,WEF_G,WEE_G,WET_G,URB_H,AGR_H,FOC_H,FOD_H,FOR_H,WAT_H,WEF_H,WEE_H,WET_H
75_297,Dodge Lake,46.11139,-86.26528,7,DRSTLK,F,6.6,16.764,5,18,5.334,0.5,3,2,1,302,34.450,112.733,359.776,0.000,0.000,36.659,0.000,0.234,50.969,51.202,5.662,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.950,0.000,8.895,56.925,65.821,2.549,0.000,2.456,2.456,12.029,0.000,7.285,57.537,64.823,2.549,0.000,4.474,4.474,11.888,0.000,7.200,57.138,64.338,2.519,0.000,4.422,4.422,11.888,0.000,7.200,57.138,64.338,2.519,0.000,4.422,4.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.504,0.000,2.365,60.826,63.191,13.138,0.000,5.166,5.166
54_54,Mecosta Lake,43.61667,-85.29639,5,DRSTLK,F,3.2,11.8872,6,117,2.1336,5,0,12,20,191,126.166,164.034,4563.821,22.465,0.000,57.937,0.000,0.000,17.843,17.843,8.676,2.432,6.373,8.806,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.716,0.000,0.000,49.445,49.445,3.862,4.540,3.837,8.377,31.561,0.000,0.000,48.897,48.897,3.862,4.542,3.762,8.304,31.561,0.000,0.000,48.897,48.897,3.862,4.542,3.762,8.304,31.561,0.000,0.000,48.897,48.897,3.862,4.542,3.762,8.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.633,34.002,4.813,41.859,46.672,1.749,1.806,1.096,2.902
55_31,Long Lake,45.42112,-87.82306,8,DRSTLK,T,3,12.5,13,158,3.3528,1.5,4.3,26,10,514,28.669,145.278,13704.690,84.610,0.000,19.387,0.000,26.534,41.347,67.881,0.242,0.000,3.629,3.629,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.051,0.000,54.233,35.634,89.867,0.045,0.000,1.046,1.046,3.928,5.685,57.974,27.075,85.049,0.045,0.000,3.344,3.344,3.928,5.685,57.974,27.075,85.049,0.045,0.000,3.344,3.344,3.928,5.685,57.974,27.075,85.049,0.045,0.000,3.344,3.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.940,10.549,29.021,47.664,76.685,1.194,3.730,1.044,4.774
12_122,Gilead Lake,41.79362,-85.16445,3,ISOL,S,5.9,14.9352,11,126,2.7432,7.2,5.1,5,50,781,56.351,122.797,,,0.000,58.648,14.245,0.000,19.575,19.575,1.839,0.000,2.205,2.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.809,62.559,0.000,10.229,10.229,0.649,0.000,1.432,1.432,22.702,64.300,0.000,9.753,9.753,0.649,0.000,1.366,1.366,22.702,64.300,0.000,9.753,9.753,0.649,0.000,1.366,1.366,22.702,64.300,0.000,9.753,9.753,0.649,0.000,1.366,1.366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13_359,Goguac Lake,42.28473,-85.21167,3,ISOL,H,5.3,20.1168,16,111,3.353,29,0.43,6.5,0,588,136.526,681.975,,,0.000,84.949,0.000,0.000,0.000,0.000,3.465,6.284,5.302,11.586,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,84.671,0.310,0.000,0.902,0.902,1.121,5.872,5.546,11.418,79.916,1.803,0.000,1.541,1.541,1.121,3.564,4.478,8.042,74.417,6.951,0.000,3.502,3.502,0.903,2.870,3.607,6.477,69.391,11.628,0.000,4.681,4.681,0.841,2.675,3.362,6.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13_413,Upper Brace Lake,42.22834,-84.945,3,ISOL,H,5.8,12.4968,8,159,3.3528,7.9,3,14,7,708,28.678,545.235,,,0.000,8.438,0.000,1.978,36.916,38.894,2.882,21.140,23.671,44.811,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.741,12.266,6.990,34.676,41.666,3.312,23.688,6.122,29.809,3.924,14.722,4.004,44.807,48.811,3.312,19.859,3.616,23.475,3.418,25.882,3.461,39.421,42.882,2.985,17.936,2.530,20.466,3.327,47.162,2.850,27.055,29.906,1.820,12.476,1.543,14.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14_223,Diamond Lake,41.90306,-85.80334,3,ISOL,H,4.6,19.5072,15,155,2.5908,15.2,4.9,3,260,912,421.391,2763.541,,,0.000,72.811,5.647,0.000,9.530,9.530,0.245,0.779,2.305,3.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.851,49.371,0.000,7.130,7.130,0.036,0.204,3.151,3.356,28.701,57.393,0.000,5.563,5.563,0.036,0.119,3.344,3.463,22.483,61.140,0.000,8.209,8.209,0.027,0.090,4.106,4.196,11.879,77.263,0.000,6.332,6.332,0.013,0.042,2.236,2.279,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14_252.1,Stone Lake,41.90334,-86.01695,3,ISOL,S,6.06,17.0688,51,81,2.286,45,5.8,10,13,976,63.463,524.435,,,0.000,51.211,1.414,0.000,25.752,25.752,0.074,1.711,9.926,11.637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.514,11.242,0.000,22.623,22.623,0.009,0.365,2.910,3.276,54.427,11.649,0.000,23.488,23.488,0.009,0.214,1.709,1.924,51.272,20.761,0.000,18.427,18.427,0.007,0.162,1.288,1.449,41.719,33.953,0.000,16.585,16.585,0.006,0.131,1.045,1.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14_274,Birch Lake,41.88139,-85.85834,3,ISOL,H,12.3,28.956,12,118,5.334,3.7,2.6,3,20,395,114.134,499.085,,,0.000,70.363,1.310,0.000,27.691,27.691,0.394,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.693,36.092,1.565,34.765,36.330,0.059,2.051,0.000,2.051,16.418,39.845,2.930,36.478,39.408,0.059,2.004,0.000,2.004,13.726,44.716,2.450,34.435,36.884,0.050,1.675,1.055,2.730,10.012,48.486,2.083,33.000,35.083,0.036,1.222,3.685,4.907,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16_82,Silver Lake,45.26945,-84.63278,5,ISOL,S,11.3,21.336,8,98,4.8768,1.2,0.1,4,5,366,27.354,99.850,,,0.000,63.372,0.000,6.944,13.171,20.116,12.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.962,0.000,14.753,26.864,41.617,2.883,0.000,0.000,0.000,27.109,0.000,17.529,27.062,44.591,2.883,0.000,0.000,0.000,27.109,0.000,17.529,27.062,44.591,2.883,0.000,0.000,0.000,27.109,0.000,17.529,27.062,44.591,2.883,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18_125,Lake George,43.95584,-84.93834,5,ISOL,S,2.8,7.62,9,36,4.1148,16.2,5.3,8,10,642,52.359,922.571,,,0.000,64.479,0.000,0.562,23.995,24.557,6.756,2.792,0.279,3.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.437,0.000,1.324,58.957,60.281,1.139,2.651,0.076,2.727,18.369,0.000,1.922,68.915,70.837,1.139,2.549,0.047,2.596,14.391,0.000,2.475,72.909,75.385,0.893,1.997,0.037,2.034,9.636,0.000,1.624,78.009,79.633,0.586,1.310,0.024,1.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18_196,Cranberry Lake,44.06056,-84.74417,5,ISOL,S,2.4,6.096,18,61,1.3716,21,3.1,10,8,743,65.898,340.821,,,0.000,46.656,0.000,0.000,39.776,39.776,3.648,0.299,3.827,4.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.690,0.000,1.469,41.600,43.069,0.852,0.577,1.309,1.886,42.439,0.000,1.004,49.343,50.347,0.852,3.553,0.894,4.447,31.568,0.000,0.747,62.036,62.783,0.634,2.643,0.916,3.559,29.300,0.000,0.691,64.486,65.177,0.587,2.448,0.848,3.296,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2_627,Kingston Lake,46.57917,-86.21945,7,ISOL,S,0,5.5,11,36,2.8956,0.4,5.6,15,1,242,51.144,2425.897,,,0.000,0.000,0.000,31.388,42.620,74.007,25.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.108,43.421,93.528,2.831,0.000,0.000,0.000,0.000,0.000,54.958,41.606,96.564,2.831,0.000,0.000,0.000,0.000,0.000,57.736,38.367,96.102,1.775,0.000,0.000,0.000,0.000,0.000,40.470,55.959,96.429,0.891,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20_94,KP Lake,44.795,-84.54723,5,ISOL,S,3.5,7.62,8,34,3.6576,1.3,3.6,3,11,413,44.211,1580.554,,,0.000,32.700,0.000,0.000,65.605,65.605,1.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.421,0.000,0.050,90.675,90.725,0.170,0.000,0.000,0.000,3.415,0.000,1.998,90.095,92.093,0.170,0.000,0.000,0.000,2.353,0.000,2.370,87.399,89.769,0.117,0.243,0.233,0.476,0.938,0.000,3.547,85.355,88.903,0.106,0.438,1.156,1.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21_264,Camp 7 Lake,46.05778,-86.55112,7,ISOL,S,5,10.668,7,32,3.81,1.1,3.9,5,40,518,20.964,68.378,,,0.000,37.062,0.000,11.096,36.941,48.037,5.778,9.123,0.000,9.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.448,0.000,47.773,24.595,72.368,1.618,5.009,0.000,5.009,15.690,0.000,49.862,23.780,73.642,1.618,4.778,0.000,4.778,15.690,0.000,49.862,23.780,73.642,1.618,4.778,0.000,4.778,15.690,0.000,49.862,23.780,73.642,1.618,4.778,0.000,4.778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
