year,region,country,sex,number
1986,Africa,Senegal,Female,15.3
1987,Africa,Mali,Female,27
1987,Africa,Burundi,Female,27.8
1988,Africa,Togo,Female,19.7
1988,Africa,Zimbabwe,Female,7.2
1988,Africa,Uganda,Female,19.1
1988,Africa,Ghana,Female,23.4
1990,Africa,Nigeria,Female,33.3
1990,Africa,Mauritania,Female,42.1
1991,Africa,United Republic of Tanzania,Female,23.3
1991,Africa,Cameroon,Female,18.3
1992,Africa,Namibia,Female,19.7
1992,Africa,Senegal,Female,20.8
1992,Africa,Burkina Faso,Female,27.5
1992,Africa,Niger,Female,39.7
1992,Africa,Malawi,Female,22.4
1992,Africa,Zambia,Female,20.1
1992,Africa,Madagascar,Female,32.6
1992,Africa,Rwanda,Female,23.2
1992,Africa,Algeria,Female,8.6
1993,Africa,Kenya,Female,17.7
1993,Africa,Ghana,Female,23.2
1994,Africa,Central African Republic,Female,21.3
1994,Africa,Zimbabwe,Female,9.8
1994,Africa,Côte d'Ivoire,Female,18
1995,Africa,Eritrea,Female,37.1
1995,Africa,Uganda,Female,19.4
1995,Africa,Mali,Female,37.2
1995,Africa,Algeria,Female,10.4
1996,Africa,Angola,Female,35.7
1996,Africa,Zambia,Female,18.2
1996,Africa,Benin,Female,23.8
1996,Africa,United Republic of Tanzania,Female,25.3
1996,Africa,Comoros,Female,18.6
1996,Africa,Chad,Female,32.8
1997,Africa,Equatorial Guinea,Female,12.2
1997,Africa,Mozambique,Female,25.3
1997,Africa,Madagascar,Female,31.1
1998,Africa,Cameroon,Female,15.7
1998,Africa,Burkina Faso,Female,32.2
1998,Africa,Niger,Female,43.9
1998,Africa,Togo,Female,20.9
1998,Africa,Kenya,Female,15.1
1998,Africa,Côte d'Ivoire,Female,19.7
1998,Africa,Ghana,Female,19.9
1999,Africa,Liberia,Female,17.7
1999,Africa,Zambia,Female,16.7
1999,Africa,Guinea,Female,21
1999,Africa,United Republic of Tanzania,Female,26.8
1999,Africa,Zimbabwe,Female,10.4
2000,Africa,Mauritania,Female,28.2
2000,Africa,Swaziland,Female,8.7
